fixed,noise,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_steps,train step,xentropy,rmse,accuracy
True,True,10,0.005,100,100,0.99,3,2,7,1,,830,2.06497,0.0835648,0.39
True,True,10,0.005,100,100,0.99,3,2,7,1,,840,1.6956,0.0768483,0.55
True,True,10,0.005,100,100,0.99,3,2,7,1,,850,1.28552,0.0681767,0.66
True,True,10,0.005,100,100,0.99,3,2,7,1,,860,1.1639,0.0657728,0.64
True,True,10,0.005,100,100,0.99,3,2,7,1,,870,0.966739,0.0590543,0.76
True,True,10,0.005,100,100,0.99,3,2,7,1,,880,0.787552,0.054192,0.76
True,True,10,0.005,100,100,0.99,3,2,7,1,,890,0.702041,0.0512381,0.8
True,True,10,0.005,100,100,0.99,3,2,7,1,,900,0.605729,0.0490587,0.83
True,True,10,0.005,100,100,0.99,3,2,7,1,,910,4.57508,0.10287,0.18
True,True,10,0.005,100,100,0.99,3,2,7,1,,920,2.66983,0.0893022,0.36
True,True,10,0.005,100,100,0.99,3,2,7,1,,930,1.89898,0.0782279,0.55
True,True,10,0.005,100,100,0.99,3,2,7,1,,940,1.48319,0.0711537,0.6
True,True,10,0.005,100,100,0.99,3,2,7,1,,950,1.1177,0.0639148,0.7
True,True,10,0.005,100,100,0.99,3,2,7,1,,960,0.876854,0.0579319,0.73
True,True,10,0.005,100,100,0.99,3,2,7,1,,970,0.738244,0.0532938,0.78
True,True,10,0.005,100,100,0.99,3,2,7,1,,980,0.648488,0.0499829,0.85
True,True,10,0.005,100,100,0.99,3,2,7,1,,990,0.491599,0.0432673,0.89
True,True,10,0.005,100,100,0.99,3,2,7,1,,-1,7.28576,0.109764,0.15
True,False,10,0.005,100,100,0.99,3,2,7,1,,0,35.9437,0.13207,0.0
True,False,10,0.005,100,100,0.99,3,2,7,1,,10,19.3439,0.124352,0.0
True,False,10,0.005,100,100,0.99,3,2,7,1,,20,10.6751,0.115797,0.02
True,False,10,0.005,100,100,0.99,3,2,7,1,,30,7.12372,0.109772,0.01
