cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,490,2.50326,0.00910903,0.395501,2.26946,0.0111746,0.384615
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,-1,6.17783,0.00734033,0.0270154,6.52915,0.00931059,0.0227273
rmse,last,5,0.005,40,100,0.99,3,3,5,1,245,106,0,7.54258,0.000531599,0.000235849,7.5402,0.000530985,0.0
rmse,last,5,0.005,40,100,0.99,3,3,5,1,245,106,10,7.54034,0.000531821,0.00117925,7.53934,0.000530918,0.0
rmse,last,5,0.005,40,100,0.99,3,3,5,1,245,106,20,7.54147,0.000531856,0.000471698,7.53955,0.000530899,0.0
rmse,last,5,0.005,40,100,0.99,3,3,5,1,245,106,30,7.54142,0.000531867,0.000471698,7.53995,0.000530879,0.0
rmse,last,5,0.005,40,100,0.99,3,3,5,1,245,106,40,7.54147,0.000531909,0.000471698,7.5393,0.000530867,0.0
rmse,last,5,0.005,40,100,0.99,3,3,5,1,245,106,50,7.54138,0.000531896,0.000707547,7.54054,0.000530856,0.0
rmse,last,5,0.005,40,100,0.99,3,3,5,1,245,106,60,7.54131,0.000531905,0.000707547,7.54262,0.000530846,0.0
rmse,last,5,0.005,40,100,0.99,3,3,5,1,245,106,70,7.54152,0.0005319,0.000707547,7.54002,0.000530833,0.0
rmse,last,5,0.005,40,100,0.99,3,3,5,1,245,106,80,7.54155,0.0005319,0.000471698,7.54198,0.000530828,0.0
rmse,last,5,0.005,40,100,0.99,3,3,5,1,245,106,90,7.54135,0.000531877,0.000235849,7.54062,0.000530824,0.0
rmse,last,5,0.005,40,100,0.99,3,3,5,1,245,106,100,7.54117,0.000531858,0.000235849,7.54119,0.000530819,0.0
rmse,last,5,0.005,40,100,0.99,3,3,5,1,245,106,110,7.5424,0.000531771,0.0,7.54422,0.00053083,0.0
rmse,last,5,0.005,40,100,0.99,3,3,5,1,245,106,120,7.54212,0.000531744,0.0,7.54398,0.000530823,0.0
rmse,last,5,0.005,40,100,0.99,3,3,5,1,245,106,130,7.54193,0.000531718,0.0,7.54307,0.000530818,0.0
rmse,last,5,0.005,40,100,0.99,3,3,5,1,245,106,140,7.5419,0.000531646,0.000235849,7.54448,0.000530814,0.0
rmse,last,5,0.005,40,100,0.99,3,3,5,1,245,106,150,7.5419,0.000531614,0.0,7.5434,0.000530809,0.0
rmse,last,5,0.005,40,100,0.99,3,3,5,1,245,106,160,7.54174,0.00053155,0.0,7.54393,0.000530807,0.0
rmse,last,5,0.005,40,100,0.99,3,3,5,1,245,106,170,7.54158,0.000531494,0.0,7.54335,0.000530803,0.0
rmse,last,5,0.005,40,100,0.99,3,3,5,1,245,106,180,7.54158,0.00053142,0.0,7.5431,0.0005308,0.0
rmse,last,5,0.005,40,100,0.99,3,3,5,1,245,106,190,7.5415,0.000531343,0.0,7.5428,0.000530798,0.0
rmse,last,5,0.005,40,100,0.99,3,3,5,1,245,106,200,7.5414,0.000531265,0.0,7.54287,0.000530797,0.0
