cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,330,4.12625,0.00418851,0.0832124,4.15378,0.00449418,0.0512821
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,340,4.08883,0.00410109,0.0909531,4.05896,0.0043918,0.0512821
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,350,4.06015,0.00409442,0.103774,3.99656,0.00435585,0.0512821
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,360,4.03881,0.00413992,0.103774,3.986,0.00442681,0.0512821
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,370,4.02042,0.00417523,0.105951,3.97802,0.00441596,0.0769231
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,380,4.00556,0.00421408,0.105951,3.95165,0.00436668,0.0512821
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,390,3.98806,0.00424601,0.106434,3.93703,0.00434318,0.102564
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,400,3.9846,0.00426379,0.0996613,3.94701,0.00430677,0.0769231
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,410,4.57159,0.00328529,0.0539429,4.33125,0.0036751,0.0769231
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,420,4.41868,0.00352724,0.0604741,4.19336,0.00395457,0.128205
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,430,4.35167,0.00341281,0.0650702,4.18107,0.00401052,0.102564
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,440,4.31127,0.00348821,0.0682148,4.2175,0.00396064,0.128205
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,450,4.28029,0.00352985,0.0674891,4.14173,0.00393022,0.0512821
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,460,4.25185,0.00356142,0.0740203,4.14283,0.00388606,0.102564
