fixed,noise,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_steps,train step,xentropy,rmse,accuracy
True,True,10,0.005,100,100,0.99,3,2,7,1,,870,1.53331,0.0735976,0.59
True,True,10,0.005,100,100,0.99,3,2,7,1,,880,1.30396,0.0686846,0.68
True,True,10,0.005,100,100,0.99,3,2,7,1,,890,1.08264,0.0642328,0.72
True,True,10,0.005,100,100,0.99,3,2,7,1,,900,0.875895,0.0586396,0.81
True,True,10,0.005,100,100,0.99,3,2,7,1,,910,4.26004,0.0982455,0.17
True,True,10,0.005,100,100,0.99,3,2,7,1,,920,3.18381,0.0934305,0.25
True,True,10,0.005,100,100,0.99,3,2,7,1,,930,2.5804,0.0878072,0.36
True,True,10,0.005,100,100,0.99,3,2,7,1,,940,2.25469,0.0845685,0.43
True,True,10,0.005,100,100,0.99,3,2,7,1,,950,2.001,0.0814764,0.44
True,True,10,0.005,100,100,0.99,3,2,7,1,,960,1.77305,0.0775832,0.53
True,True,10,0.005,100,100,0.99,3,2,7,1,,970,1.58336,0.0736931,0.58
True,True,10,0.005,100,100,0.99,3,2,7,1,,980,1.39954,0.0701511,0.64
True,True,10,0.005,100,100,0.99,3,2,7,1,,990,1.26867,0.0664752,0.69
True,True,10,0.005,100,100,0.99,3,2,7,1,,-1,6.88332,0.10745,0.08
True,False,10,0.005,100,100,0.99,3,2,7,1,,0,50.4949,0.137504,0.02
True,False,10,0.005,100,100,0.99,3,2,7,1,,10,27.9658,0.13425,0.02
True,False,10,0.005,100,100,0.99,3,2,7,1,,20,15.4963,0.116134,0.03
True,False,10,0.005,100,100,0.99,3,2,7,1,,30,9.15243,0.111375,0.02
True,False,10,0.005,100,100,0.99,3,2,7,1,,40,6.58272,0.10454,0.05
True,False,10,0.005,100,100,0.99,3,2,7,1,,50,5.53555,0.102738,0.06
True,False,10,0.005,100,100,0.99,3,2,7,1,,60,5.15752,0.10318,0.03
True,False,10,0.005,100,100,0.99,3,2,7,1,,70,5.5502,0.105262,0.04
True,False,10,0.005,100,100,0.99,3,2,7,1,,80,4.74109,0.103757,0.03
True,False,10,0.005,100,100,0.99,3,2,7,1,,90,4.76813,0.10136,0.09
True,False,10,0.005,100,100,0.99,3,2,7,1,,100,4.50376,0.100366,0.11
True,False,10,0.005,100,100,0.99,3,2,7,1,,110,8.79858,0.104021,0.07
True,False,10,0.005,100,100,0.99,3,2,7,1,,120,5.76204,0.10472,0.04
True,False,10,0.005,100,100,0.99,3,2,7,1,,130,5.47628,0.103778,0.04
True,False,10,0.005,100,100,0.99,3,2,7,1,,140,4.89358,0.101785,0.08
True,False,10,0.005,100,100,0.99,3,2,7,1,,150,4.8398,0.10318,0.04
True,False,10,0.005,100,100,0.99,3,2,7,1,,160,4.98815,0.10114,0.05
True,False,10,0.005,100,100,0.99,3,2,7,1,,170,5.03502,0.101044,0.06
True,False,10,0.005,100,100,0.99,3,2,7,1,,180,4.84644,0.100861,0.07
True,False,10,0.005,100,100,0.99,3,2,7,1,,190,4.51746,0.101097,0.07
True,False,10,0.005,100,100,0.99,3,2,7,1,,200,4.93104,0.100833,0.04
True,False,10,0.005,100,100,0.99,3,2,7,1,,210,5.9657,0.105528,0.0
True,False,10,0.005,100,100,0.99,3,2,7,1,,220,5.10281,0.102646,0.04
True,False,10,0.005,100,100,0.99,3,2,7,1,,230,4.84997,0.1035,0.06
True,False,10,0.005,100,100,0.99,3,2,7,1,,240,4.7115,0.101017,0.07
True,False,10,0.005,100,100,0.99,3,2,7,1,,250,4.51945,0.101856,0.05
True,False,10,0.005,100,100,0.99,3,2,7,1,,260,4.72576,0.101848,0.08
True,False,10,0.005,100,100,0.99,3,2,7,1,,270,4.70104,0.102033,0.06
True,False,10,0.005,100,100,0.99,3,2,7,1,,280,4.82099,0.101453,0.03
True,False,10,0.005,100,100,0.99,3,2,7,1,,290,5.33661,0.101538,0.06
True,False,10,0.005,100,100,0.99,3,2,7,1,,300,4.37218,0.099785,0.08
True,False,10,0.005,100,100,0.99,3,2,7,1,,310,4.81002,0.0997879,0.06
True,False,10,0.005,100,100,0.99,3,2,7,1,,320,4.49428,0.100865,0.05
True,False,10,0.005,100,100,0.99,3,2,7,1,,330,4.62256,0.0996198,0.1
True,False,10,0.005,100,100,0.99,3,2,7,1,,340,4.29555,0.097596,0.09
True,False,10,0.005,100,100,0.99,3,2,7,1,,350,4.50158,0.0985116,0.09
True,False,10,0.005,100,100,0.99,3,2,7,1,,360,4.38474,0.0996498,0.06
True,False,10,0.005,100,100,0.99,3,2,7,1,,370,4.4767,0.0985106,0.08
True,False,10,0.005,100,100,0.99,3,2,7,1,,380,4.36561,0.0986032,0.09
True,False,10,0.005,100,100,0.99,3,2,7,1,,390,4.22875,0.0984929,0.1
True,False,10,0.005,100,100,0.99,3,2,7,1,,400,4.24493,0.0978801,0.09
True,False,10,0.005,100,100,0.99,3,2,7,1,,410,5.82301,0.106142,0.03
True,False,10,0.005,100,100,0.99,3,2,7,1,,420,5.00788,0.101723,0.03
True,False,10,0.005,100,100,0.99,3,2,7,1,,430,4.42135,0.100831,0.07
True,False,10,0.005,100,100,0.99,3,2,7,1,,440,4.27756,0.100351,0.1
True,False,10,0.005,100,100,0.99,3,2,7,1,,450,4.31035,0.0992969,0.09
True,False,10,0.005,100,100,0.99,3,2,7,1,,460,4.1983,0.098382,0.1
True,False,10,0.005,100,100,0.99,3,2,7,1,,470,4.03256,0.0985691,0.11
True,False,10,0.005,100,100,0.99,3,2,7,1,,480,4.11734,0.100488,0.09
True,False,10,0.005,100,100,0.99,3,2,7,1,,490,3.75519,0.0970228,0.1
True,False,10,0.005,100,100,0.99,3,2,7,1,,500,3.77479,0.0946594,0.17
True,False,10,0.005,100,100,0.99,3,2,7,1,,510,4.79345,0.0975179,0.18
True,False,10,0.005,100,100,0.99,3,2,7,1,,520,4.30268,0.0961059,0.15
True,False,10,0.005,100,100,0.99,3,2,7,1,,530,3.71624,0.0933908,0.22
True,False,10,0.005,100,100,0.99,3,2,7,1,,540,3.24976,0.0899514,0.25
True,False,10,0.005,100,100,0.99,3,2,7,1,,550,3.04283,0.0908342,0.26
True,False,10,0.005,100,100,0.99,3,2,7,1,,560,2.87716,0.0879629,0.33
True,False,10,0.005,100,100,0.99,3,2,7,1,,570,2.60178,0.0847926,0.36
True,False,10,0.005,100,100,0.99,3,2,7,1,,580,2.43623,0.0825602,0.4
True,False,10,0.005,100,100,0.99,3,2,7,1,,590,2.43039,0.0829592,0.4
True,False,10,0.005,100,100,0.99,3,2,7,1,,600,2.319,0.0820191,0.45
True,False,10,0.005,100,100,0.99,3,2,7,1,,610,3.62298,0.089736,0.33
True,False,10,0.005,100,100,0.99,3,2,7,1,,620,2.79336,0.0878823,0.32
True,False,10,0.005,100,100,0.99,3,2,7,1,,630,2.11895,0.0814531,0.42
True,False,10,0.005,100,100,0.99,3,2,7,1,,640,1.864,0.0758125,0.51
True,False,10,0.005,100,100,0.99,3,2,7,1,,650,1.66846,0.0730656,0.51
True,False,10,0.005,100,100,0.99,3,2,7,1,,660,1.43429,0.069078,0.59
True,False,10,0.005,100,100,0.99,3,2,7,1,,670,1.35127,0.066655,0.64
True,False,10,0.005,100,100,0.99,3,2,7,1,,680,1.07536,0.0626483,0.69
True,False,10,0.005,100,100,0.99,3,2,7,1,,690,1.14001,0.0647678,0.67
True,False,10,0.005,100,100,0.99,3,2,7,1,,700,0.987087,0.0590772,0.73
True,False,10,0.005,100,100,0.99,3,2,7,1,,710,5.46887,0.10243,0.09
True,False,10,0.005,100,100,0.99,3,2,7,1,,720,4.0231,0.098732,0.14
True,False,10,0.005,100,100,0.99,3,2,7,1,,730,3.50287,0.0912591,0.33
True,False,10,0.005,100,100,0.99,3,2,7,1,,740,3.23622,0.09054,0.26
True,False,10,0.005,100,100,0.99,3,2,7,1,,750,3.04363,0.089604,0.26
True,False,10,0.005,100,100,0.99,3,2,7,1,,760,2.75966,0.0868749,0.32
True,False,10,0.005,100,100,0.99,3,2,7,1,,770,2.77028,0.0873142,0.32
True,False,10,0.005,100,100,0.99,3,2,7,1,,780,2.70412,0.0843198,0.35
True,False,10,0.005,100,100,0.99,3,2,7,1,,790,2.60412,0.0830626,0.36
True,False,10,0.005,100,100,0.99,3,2,7,1,,800,2.50133,0.0824802,0.43
True,False,10,0.005,100,100,0.99,3,2,7,1,,810,3.5199,0.0882973,0.3
True,False,10,0.005,100,100,0.99,3,2,7,1,,820,2.6719,0.0863642,0.33
True,False,10,0.005,100,100,0.99,3,2,7,1,,830,2.44974,0.0843595,0.4
True,False,10,0.005,100,100,0.99,3,2,7,1,,840,2.1639,0.081049,0.44
True,False,10,0.005,100,100,0.99,3,2,7,1,,850,1.79689,0.0769631,0.51
True,False,10,0.005,100,100,0.99,3,2,7,1,,860,1.84389,0.0782754,0.49
True,False,10,0.005,100,100,0.99,3,2,7,1,,870,1.57934,0.0725119,0.55
True,False,10,0.005,100,100,0.99,3,2,7,1,,880,1.94363,0.0759413,0.5
True,False,10,0.005,100,100,0.99,3,2,7,1,,890,1.52218,0.072024,0.5
True,False,10,0.005,100,100,0.99,3,2,7,1,,900,1.53561,0.0720105,0.56
True,False,10,0.005,100,100,0.99,3,2,7,1,,910,3.47057,0.0878908,0.32
True,False,10,0.005,100,100,0.99,3,2,7,1,,920,2.47248,0.0829176,0.39
True,False,10,0.005,100,100,0.99,3,2,7,1,,930,2.19031,0.0800824,0.46
True,False,10,0.005,100,100,0.99,3,2,7,1,,940,1.844,0.0744641,0.51
True,False,10,0.005,100,100,0.99,3,2,7,1,,950,1.83696,0.0763149,0.5
True,False,10,0.005,100,100,0.99,3,2,7,1,,960,1.73482,0.0743129,0.49
True,False,10,0.005,100,100,0.99,3,2,7,1,,970,1.75716,0.0742951,0.5
True,False,10,0.005,100,100,0.99,3,2,7,1,,980,1.63201,0.0731825,0.51
True,False,10,0.005,100,100,0.99,3,2,7,1,,990,1.67383,0.0722546,0.58
True,False,10,0.005,100,100,0.99,3,2,7,1,,-1,3.79834,0.088596,0.4
