cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,930,10.8479,0.0048225,0.0278302,3.27413,0.00487075,0.125
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,940,10.8348,0.00483624,0.0389151,3.2948,0.00490151,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,950,10.8273,0.00484528,0.0433962,3.27418,0.00491037,0.15
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,960,10.8012,0.00484161,0.0268868,3.26914,0.00489259,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,970,10.7957,0.00485626,0.0221698,3.28053,0.00492836,0.125
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,980,10.8059,0.0048634,0.0266509,3.2958,0.00491038,0.125
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,990,10.7792,0.00484172,0.0247642,3.27115,0.00490789,0.125
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1000,10.7631,0.00487128,0.0443396,3.24596,0.00494041,0.125
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1010,7.07665,0.00433423,0.0181604,3.4578,0.00437678,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1020,9.80924,0.00466605,0.0542453,3.33062,0.00468242,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1030,10.2414,0.00460719,0.0584906,3.32353,0.00462373,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1040,10.4441,0.00461879,0.0601415,3.29747,0.00463529,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1050,10.5837,0.0046123,0.0556604,3.31807,0.00462971,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1060,10.553,0.00460076,0.057783,3.31452,0.00461236,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1070,10.53,0.00459778,0.0580189,3.32109,0.00461037,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1080,10.5298,0.00460429,0.0584906,3.32212,0.00461262,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1090,10.5401,0.00460715,0.0584906,3.32256,0.0046246,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1100,10.5839,0.00458421,0.0561321,3.32412,0.00459489,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1110,10.5494,0.0045955,0.0596698,3.31263,0.00461157,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1120,10.5327,0.00459323,0.0384434,3.32528,0.00460691,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1130,10.4824,0.00458781,0.0540094,3.32267,0.00460727,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1140,10.4689,0.0046075,0.0292453,3.31121,0.00462001,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1150,10.4518,0.00461148,0.0318396,3.32188,0.00462415,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1160,10.2272,0.00460981,0.0551887,3.33355,0.00462203,0.025
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1170,10.2991,0.00460281,0.0580189,3.31865,0.00461692,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1180,10.3948,0.00460821,0.0544811,3.32584,0.00462388,0.025
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1190,10.3271,0.00460196,0.0540094,3.32585,0.00461692,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1200,10.2561,0.00459445,0.0542453,3.31107,0.00460969,0.05
