fixed,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_steps,train step,xentropy,rmse,accuracy
True,10,0.005,100,100,0.99,3,2,7,1,,800,0.00446268,0.00307405,1.0
True,10,0.005,100,100,0.99,3,2,7,1,,810,0.200775,0.0325286,0.93
True,10,0.005,100,100,0.99,3,2,7,1,,820,0.321488,0.0326215,0.93
True,10,0.005,100,100,0.99,3,2,7,1,,830,0.0167363,0.0082434,1.0
True,10,0.005,100,100,0.99,3,2,7,1,,840,0.0320348,0.0125009,0.99
True,10,0.005,100,100,0.99,3,2,7,1,,850,0.146832,0.0193924,0.98
True,10,0.005,100,100,0.99,3,2,7,1,,860,0.389454,0.028784,0.96
True,10,0.005,100,100,0.99,3,2,7,1,,870,0.0228172,0.0115191,0.99
True,10,0.005,100,100,0.99,3,2,7,1,,880,0.0582626,0.0142034,0.99
True,10,0.005,100,100,0.99,3,2,7,1,,890,0.0848224,0.0172378,0.98
True,10,0.005,100,100,0.99,3,2,7,1,,900,0.172146,0.0242468,0.96
True,10,0.005,100,100,0.99,3,2,7,1,,910,0.082106,0.0220354,0.98
True,10,0.005,100,100,0.99,3,2,7,1,,920,0.117854,0.0219034,0.97
True,10,0.005,100,100,0.99,3,2,7,1,,930,0.065263,0.0188658,0.97
True,10,0.005,100,100,0.99,3,2,7,1,,940,0.0316117,0.014266,0.98
True,10,0.005,100,100,0.99,3,2,7,1,,950,0.0983948,0.0205005,0.97
True,10,0.005,100,100,0.99,3,2,7,1,,960,0.0319955,0.0129662,0.99
True,10,0.005,100,100,0.99,3,2,7,1,,970,0.0787544,0.0180915,0.98
True,10,0.005,100,100,0.99,3,2,7,1,,980,0.0331614,0.0139408,0.99
True,10,0.005,100,100,0.99,3,2,7,1,,990,0.0454362,0.0167628,0.97
True,10,0.005,100,100,0.99,3,2,7,1,,-1,0.176703,0.0279135,0.95
True,10,0.005,100,500,0.99,3,2,7,1,,0,96.1032,0.136814,0.02
True,10,0.005,100,500,0.99,3,2,7,1,,10,44.2135,0.131547,0.04
True,10,0.005,100,500,0.99,3,2,7,1,,20,24.3212,0.129926,0.03
True,10,0.005,100,500,0.99,3,2,7,1,,30,16.0883,0.125504,0.06
True,10,0.005,100,500,0.99,3,2,7,1,,40,11.8262,0.117954,0.1
True,10,0.005,100,500,0.99,3,2,7,1,,50,9.55949,0.113756,0.13
True,10,0.005,100,500,0.99,3,2,7,1,,60,7.23061,0.108406,0.18
True,10,0.005,100,500,0.99,3,2,7,1,,70,6.57368,0.107822,0.17
True,10,0.005,100,500,0.99,3,2,7,1,,80,5.35649,0.100343,0.29
True,10,0.005,100,500,0.99,3,2,7,1,,90,4.64035,0.0953504,0.35
True,10,0.005,100,500,0.99,3,2,7,1,,100,3.38111,0.0888742,0.43
True,10,0.005,100,500,0.99,3,2,7,1,,110,3.17822,0.0897391,0.43
True,10,0.005,100,500,0.99,3,2,7,1,,120,2.82592,0.0843955,0.48
True,10,0.005,100,500,0.99,3,2,7,1,,130,2.54567,0.0821207,0.55
True,10,0.005,100,500,0.99,3,2,7,1,,140,2.42925,0.0768427,0.59
True,10,0.005,100,500,0.99,3,2,7,1,,150,1.84943,0.0734832,0.63
True,10,0.005,100,500,0.99,3,2,7,1,,160,1.34884,0.0671288,0.67
True,10,0.005,100,500,0.99,3,2,7,1,,170,1.62168,0.0711142,0.67
True,10,0.005,100,500,0.99,3,2,7,1,,180,1.46853,0.061734,0.72
True,10,0.005,100,500,0.99,3,2,7,1,,190,1.05591,0.0583503,0.76
True,10,0.005,100,500,0.99,3,2,7,1,,200,0.784894,0.0533534,0.79
True,10,0.005,100,500,0.99,3,2,7,1,,210,1.24752,0.0567985,0.8
True,10,0.005,100,500,0.99,3,2,7,1,,220,0.953247,0.0570145,0.79
True,10,0.005,100,500,0.99,3,2,7,1,,230,0.451343,0.0428888,0.87
True,10,0.005,100,500,0.99,3,2,7,1,,240,0.65268,0.052593,0.81
True,10,0.005,100,500,0.99,3,2,7,1,,250,0.768291,0.0507352,0.81
True,10,0.005,100,500,0.99,3,2,7,1,,260,0.57753,0.0485234,0.86
True,10,0.005,100,500,0.99,3,2,7,1,,270,0.463344,0.0411624,0.9
True,10,0.005,100,500,0.99,3,2,7,1,,280,0.362508,0.0423984,0.88
True,10,0.005,100,500,0.99,3,2,7,1,,290,0.537954,0.0487988,0.82
True,10,0.005,100,500,0.99,3,2,7,1,,300,0.332474,0.038483,0.89
True,10,0.005,100,500,0.99,3,2,7,1,,310,0.446285,0.0372299,0.91
True,10,0.005,100,500,0.99,3,2,7,1,,320,0.326394,0.038011,0.92
True,10,0.005,100,500,0.99,3,2,7,1,,330,0.2638,0.0331884,0.94
True,10,0.005,100,500,0.99,3,2,7,1,,340,0.170518,0.0288534,0.95
True,10,0.005,100,500,0.99,3,2,7,1,,350,0.330619,0.0381833,0.9
True,10,0.005,100,500,0.99,3,2,7,1,,360,0.265312,0.0351587,0.93
True,10,0.005,100,500,0.99,3,2,7,1,,370,0.354813,0.0380093,0.91
True,10,0.005,100,500,0.99,3,2,7,1,,380,0.53553,0.0418582,0.88
True,10,0.005,100,500,0.99,3,2,7,1,,390,0.360368,0.0355144,0.9
True,10,0.005,100,500,0.99,3,2,7,1,,400,0.308167,0.038743,0.88
True,10,0.005,100,500,0.99,3,2,7,1,,410,0.298567,0.0368603,0.91
True,10,0.005,100,500,0.99,3,2,7,1,,420,0.379749,0.0409335,0.89
True,10,0.005,100,500,0.99,3,2,7,1,,430,0.222688,0.0329647,0.93
True,10,0.005,100,500,0.99,3,2,7,1,,440,0.111447,0.0256472,0.95
True,10,0.005,100,500,0.99,3,2,7,1,,450,0.199017,0.0296554,0.94
True,10,0.005,100,500,0.99,3,2,7,1,,460,0.0887579,0.0209343,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,470,0.219797,0.032087,0.94
True,10,0.005,100,500,0.99,3,2,7,1,,480,0.257714,0.0328118,0.91
True,10,0.005,100,500,0.99,3,2,7,1,,490,0.227268,0.0341776,0.92
True,10,0.005,100,500,0.99,3,2,7,1,,500,0.0764472,0.0211561,0.96
True,10,0.005,100,500,0.99,3,2,7,1,,510,6.153,0.0872215,0.48
True,10,0.005,100,500,0.99,3,2,7,1,,520,2.34462,0.0763346,0.6
True,10,0.005,100,500,0.99,3,2,7,1,,530,1.23185,0.059164,0.73
True,10,0.005,100,500,0.99,3,2,7,1,,540,0.957467,0.0538156,0.78
True,10,0.005,100,500,0.99,3,2,7,1,,550,0.598557,0.0438641,0.87
True,10,0.005,100,500,0.99,3,2,7,1,,560,0.665429,0.0479649,0.85
True,10,0.005,100,500,0.99,3,2,7,1,,570,0.57148,0.0444585,0.87
True,10,0.005,100,500,0.99,3,2,7,1,,580,0.367378,0.043468,0.85
True,10,0.005,100,500,0.99,3,2,7,1,,590,0.239384,0.031571,0.95
True,10,0.005,100,500,0.99,3,2,7,1,,600,0.227151,0.0344847,0.91
True,10,0.005,100,500,0.99,3,2,7,1,,610,0.255417,0.0375152,0.91
True,10,0.005,100,500,0.99,3,2,7,1,,620,0.143015,0.0259989,0.97
True,10,0.005,100,500,0.99,3,2,7,1,,630,0.165986,0.0311294,0.92
True,10,0.005,100,500,0.99,3,2,7,1,,640,0.0960016,0.0225237,0.96
