fixed,noise,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_steps,train step,xentropy,rmse,accuracy
True,False,10,0.005,100,100,0.99,3,2,7,2,1,850,0.193851,0.0262142,0.95
True,False,10,0.005,100,100,0.99,3,2,7,2,1,860,0.113977,0.0240313,0.96
True,False,10,0.005,100,100,0.99,3,2,7,2,1,870,0.124582,0.0233251,0.96
True,False,10,0.005,100,100,0.99,3,2,7,2,1,880,0.233194,0.0303388,0.94
True,False,10,0.005,100,100,0.99,3,2,7,2,1,890,0.101273,0.0243984,0.97
True,False,10,0.005,100,100,0.99,3,2,7,2,1,900,0.104701,0.0247254,0.95
True,False,10,0.005,100,100,0.99,3,2,7,2,1,910,0.781042,0.0542168,0.8
True,False,10,0.005,100,100,0.99,3,2,7,2,1,920,0.395784,0.0424968,0.87
True,False,10,0.005,100,100,0.99,3,2,7,2,1,930,0.384302,0.0393281,0.9
True,False,10,0.005,100,100,0.99,3,2,7,2,1,940,0.291031,0.0361742,0.89
True,False,10,0.005,100,100,0.99,3,2,7,2,1,950,0.238273,0.032924,0.93
True,False,10,0.005,100,100,0.99,3,2,7,2,1,960,0.281228,0.0354665,0.91
True,False,10,0.005,100,100,0.99,3,2,7,2,1,970,0.205399,0.031749,0.91
True,False,10,0.005,100,100,0.99,3,2,7,2,1,980,0.239929,0.0306929,0.94
True,False,10,0.005,100,100,0.99,3,2,7,2,1,990,0.134393,0.0266221,0.95
True,False,10,0.005,100,100,0.99,3,2,7,2,1,-1,1.52184,0.0668535,0.7
True,False,10,0.005,100,100,0.99,3,2,7,2,100,0,4.60658,0.0994737,0.0109
True,False,10,0.005,100,100,0.99,3,2,7,2,100,10,3.54498,0.0978885,0.0896
True,False,10,0.005,100,100,0.99,3,2,7,2,100,20,3.10061,0.0966467,0.1359
True,False,10,0.005,100,100,0.99,3,2,7,2,100,30,2.84346,0.0959017,0.1529
True,False,10,0.005,100,100,0.99,3,2,7,2,100,40,2.56321,0.0941287,0.2236
True,False,10,0.005,100,100,0.99,3,2,7,2,100,50,2.58741,0.0943901,0.185
True,False,10,0.005,100,100,0.99,3,2,7,2,100,60,2.71046,0.0944041,0.191
True,False,10,0.005,100,100,0.99,3,2,7,2,100,70,2.26188,0.0907109,0.2867
True,False,10,0.005,100,100,0.99,3,2,7,2,100,80,2.08702,0.0893265,0.2993
True,False,10,0.005,100,100,0.99,3,2,7,2,100,90,2.69443,0.0925128,0.2158
True,False,10,0.005,100,100,0.99,3,2,7,2,100,100,2.83454,0.0951178,0.1806
True,False,10,0.005,100,100,0.99,3,2,7,2,100,110,3.58045,0.0966997,0.149
True,False,10,0.005,100,100,0.99,3,2,7,2,100,120,3.07954,0.0960386,0.1673
True,False,10,0.005,100,100,0.99,3,2,7,2,100,130,2.62545,0.0929621,0.2492
True,False,10,0.005,100,100,0.99,3,2,7,2,100,140,2.22948,0.0902517,0.3117
True,False,10,0.005,100,100,0.99,3,2,7,2,100,150,2.07951,0.0883953,0.3166
True,False,10,0.005,100,100,0.99,3,2,7,2,100,160,2.16606,0.0893062,0.3461
True,False,10,0.005,100,100,0.99,3,2,7,2,100,170,2.03754,0.0879125,0.3614
True,False,10,0.005,100,100,0.99,3,2,7,2,100,180,1.72957,0.0833484,0.4232
True,False,10,0.005,100,100,0.99,3,2,7,2,100,190,1.69945,0.0821879,0.4415
True,False,10,0.005,100,100,0.99,3,2,7,2,100,200,1.61886,0.0810841,0.4333
True,False,10,0.005,100,100,0.99,3,2,7,2,100,210,3.56236,0.095017,0.2523
True,False,10,0.005,100,100,0.99,3,2,7,2,100,220,2.4619,0.0918691,0.2898
True,False,10,0.005,100,100,0.99,3,2,7,2,100,230,2.04334,0.0873648,0.347
True,False,10,0.005,100,100,0.99,3,2,7,2,100,240,3.25193,0.0949316,0.1834
True,False,10,0.005,100,100,0.99,3,2,7,2,100,250,2.45054,0.0910448,0.2401
True,False,10,0.005,100,100,0.99,3,2,7,2,100,260,2.33665,0.0914051,0.2608
True,False,10,0.005,100,100,0.99,3,2,7,2,100,270,2.11209,0.0881353,0.3225
True,False,10,0.005,100,100,0.99,3,2,7,2,100,280,2.65369,0.0903816,0.2968
True,False,10,0.005,100,100,0.99,3,2,7,2,100,290,3.10016,0.0930456,0.2298
True,False,10,0.005,100,100,0.99,3,2,7,2,100,300,2.80841,0.0921876,0.2106
True,False,10,0.005,100,100,0.99,3,2,7,2,100,310,3.9644,0.0983862,0.081
True,False,10,0.005,100,100,0.99,3,2,7,2,100,320,3.82833,0.0979686,0.0916
True,False,10,0.005,100,100,0.99,3,2,7,2,100,330,3.68208,0.0979199,0.0779
True,False,10,0.005,100,100,0.99,3,2,7,2,100,340,3.45546,0.0973933,0.0987
True,False,10,0.005,100,100,0.99,3,2,7,2,100,350,3.17531,0.0960551,0.1747
True,False,10,0.005,100,100,0.99,3,2,7,2,100,360,3.037,0.0949654,0.1807
True,False,10,0.005,100,100,0.99,3,2,7,2,100,370,2.94078,0.0942198,0.1846
True,False,10,0.005,100,100,0.99,3,2,7,2,100,380,2.75991,0.0932655,0.204
True,False,10,0.005,100,100,0.99,3,2,7,2,100,390,2.55742,0.0921343,0.2246
True,False,10,0.005,100,100,0.99,3,2,7,2,100,400,2.49961,0.0920453,0.2324
True,False,10,0.005,100,100,0.99,3,2,7,2,100,410,3.60356,0.0955458,0.1917
True,False,10,0.005,100,100,0.99,3,2,7,2,100,420,2.6568,0.0923108,0.2278
True,False,10,0.005,100,100,0.99,3,2,7,2,100,430,2.35966,0.0907187,0.2804
True,False,10,0.005,100,100,0.99,3,2,7,2,100,440,2.46988,0.0921327,0.2352
True,False,10,0.005,100,100,0.99,3,2,7,2,100,450,2.44105,0.0920805,0.2208
True,False,10,0.005,100,100,0.99,3,2,7,2,100,460,2.31715,0.0916113,0.2585
True,False,10,0.005,100,100,0.99,3,2,7,2,100,470,2.6412,0.0922487,0.235
True,False,10,0.005,100,100,0.99,3,2,7,2,100,480,2.90888,0.0925667,0.2262
True,False,10,0.005,100,100,0.99,3,2,7,2,100,490,2.3184,0.0894558,0.2826
True,False,10,0.005,100,100,0.99,3,2,7,2,100,500,2.22701,0.0887666,0.3092
True,False,10,0.005,100,100,0.99,3,2,7,2,100,510,3.16303,0.0935655,0.2581
True,False,10,0.005,100,100,0.99,3,2,7,2,100,520,3.30874,0.0960949,0.1547
True,False,10,0.005,100,100,0.99,3,2,7,2,100,530,3.00778,0.0947412,0.1745
True,False,10,0.005,100,100,0.99,3,2,7,2,100,540,2.82412,0.0933199,0.2083
True,False,10,0.005,100,100,0.99,3,2,7,2,100,550,2.582,0.0917982,0.2743
True,False,10,0.005,100,100,0.99,3,2,7,2,100,560,2.25996,0.0892064,0.3124
True,False,10,0.005,100,100,0.99,3,2,7,2,100,570,2.14427,0.0875409,0.3388
True,False,10,0.005,100,100,0.99,3,2,7,2,100,580,2.04328,0.0855544,0.3908
True,False,10,0.005,100,100,0.99,3,2,7,2,100,590,2.09308,0.086516,0.363
True,False,10,0.005,100,100,0.99,3,2,7,2,100,600,2.54609,0.0908465,0.2784
True,False,10,0.005,100,100,0.99,3,2,7,2,100,610,3.68486,0.0969677,0.1218
True,False,10,0.005,100,100,0.99,3,2,7,2,100,620,2.90954,0.0938369,0.2229
True,False,10,0.005,100,100,0.99,3,2,7,2,100,630,2.51076,0.0909378,0.2786
True,False,10,0.005,100,100,0.99,3,2,7,2,100,640,2.31457,0.0893192,0.3041
True,False,10,0.005,100,100,0.99,3,2,7,2,100,650,2.11461,0.0879176,0.3185
True,False,10,0.005,100,100,0.99,3,2,7,2,100,660,2.08551,0.0869628,0.3288
True,False,10,0.005,100,100,0.99,3,2,7,2,100,670,1.9483,0.0850329,0.3703
True,False,10,0.005,100,100,0.99,3,2,7,2,100,680,2.00803,0.0868543,0.3384
True,False,10,0.005,100,100,0.99,3,2,7,2,100,690,2.25193,0.0891842,0.2935
True,False,10,0.005,100,100,0.99,3,2,7,2,100,700,2.22443,0.0874851,0.342
True,False,10,0.005,100,100,0.99,3,2,7,2,100,710,3.55861,0.0936446,0.2598
True,False,10,0.005,100,100,0.99,3,2,7,2,100,720,2.41556,0.0901811,0.3347
True,False,10,0.005,100,100,0.99,3,2,7,2,100,730,2.19371,0.0890616,0.3362
True,False,10,0.005,100,100,0.99,3,2,7,2,100,740,1.96177,0.0874603,0.3405
True,False,10,0.005,100,100,0.99,3,2,7,2,100,750,1.68455,0.0824227,0.4283
True,False,10,0.005,100,100,0.99,3,2,7,2,100,760,1.56612,0.0799831,0.473
True,False,10,0.005,100,100,0.99,3,2,7,2,100,770,1.47304,0.0781906,0.4985
True,False,10,0.005,100,100,0.99,3,2,7,2,100,780,1.33911,0.0757907,0.5267
True,False,10,0.005,100,100,0.99,3,2,7,2,100,790,2.20181,0.0867627,0.3477
True,False,10,0.005,100,100,0.99,3,2,7,2,100,800,1.9318,0.0849095,0.3791
True,False,10,0.005,100,100,0.99,3,2,7,2,100,810,3.07082,0.0931668,0.2518
True,False,10,0.005,100,100,0.99,3,2,7,2,100,820,2.38116,0.0893187,0.3308
True,False,10,0.005,100,100,0.99,3,2,7,2,100,830,2.00184,0.0864985,0.3397
True,False,10,0.005,100,100,0.99,3,2,7,2,100,840,1.85374,0.083856,0.3986
True,False,10,0.005,100,100,0.99,3,2,7,2,100,850,2.21337,0.0851117,0.3724
True,False,10,0.005,100,100,0.99,3,2,7,2,100,860,1.98087,0.0837055,0.3792
True,False,10,0.005,100,100,0.99,3,2,7,2,100,870,2.81376,0.0874862,0.3162
True,False,10,0.005,100,100,0.99,3,2,7,2,100,880,1.97898,0.0846747,0.3912
