cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1050,11.1464,0.0134936,0.0325472,1.37453,0.0135577,0.6
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1060,11.3558,0.0138191,0.0320755,1.51174,0.0135648,0.55
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1070,11.4334,0.0140594,0.0389151,1.20955,0.0146155,0.575
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1080,11.5217,0.0137889,0.0330189,1.00159,0.014594,0.75
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1090,11.9125,0.0146664,0.0339623,0.715473,0.0154805,0.8
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1100,12.0825,0.0151948,0.0325472,0.578517,0.0168839,0.875
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1110,12.3043,0.0155159,0.0332547,0.692614,0.0175207,0.725
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1120,12.2252,0.0156204,0.0301887,0.646669,0.0165564,0.85
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1130,12.3599,0.01584,0.0287736,0.608363,0.0171464,0.7
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1140,12.4837,0.0161163,0.0346698,0.408158,0.0183372,0.925
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1150,12.5642,0.016457,0.0346698,0.494499,0.0187276,0.875
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1160,12.7606,0.0165705,0.0325472,0.568696,0.0183686,0.8
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1170,12.9701,0.0171821,0.0353774,0.487555,0.018731,0.875
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1180,12.9232,0.0171961,0.0379717,0.264762,0.0198385,0.925
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1190,13.1461,0.0171908,0.0379717,0.262856,0.0201247,0.95
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1200,13.0776,0.0172813,0.0325472,0.241995,0.0199029,0.95
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1210,13.0504,0.0172267,0.0334906,0.316339,0.0199561,0.9
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1220,13.4012,0.0176089,0.034434,0.184527,0.0204974,0.95
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1230,13.28,0.0178031,0.0375,0.125319,0.0210914,0.975
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1240,13.2826,0.0176962,0.0351415,0.158243,0.020719,0.975
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1250,13.4757,0.0177891,0.0346698,0.17275,0.0206922,0.95
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1260,13.5608,0.0182515,0.0367925,0.147616,0.0214732,0.95
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1270,13.3312,0.0178193,0.0337264,0.157775,0.0208733,0.975
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1280,13.3907,0.0178308,0.0320755,0.359862,0.0200421,0.875
