fixed,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_steps,train step,xentropy,rmse,accuracy
True,1,0.005,100,500,0.99,3,2,7,2,100,320,1.58981,0.0815676,0.4965
True,1,0.005,100,500,0.99,3,2,7,2,100,330,1.69432,0.0830414,0.4551
True,1,0.005,100,500,0.99,3,2,7,2,100,340,1.77178,0.0845549,0.4022
True,1,0.005,100,500,0.99,3,2,7,2,100,350,1.85626,0.0863426,0.3941
True,1,0.005,100,500,0.99,3,2,7,2,100,360,1.76059,0.0856822,0.4296
True,1,0.005,100,500,0.99,3,2,7,2,100,370,1.56459,0.0809425,0.4555
True,1,0.005,100,500,0.99,3,2,7,2,100,380,1.96997,0.0850027,0.4029
True,1,0.005,100,500,0.99,3,2,7,2,100,390,1.65889,0.0815032,0.4451
True,1,0.005,100,500,0.99,3,2,7,2,100,400,1.60136,0.080979,0.4691
True,1,0.005,100,500,0.99,3,2,7,2,100,410,1.37474,0.0767252,0.5292
True,1,0.005,100,500,0.99,3,2,7,2,100,420,1.2442,0.0750493,0.5702
True,1,0.005,100,500,0.99,3,2,7,2,100,430,1.25475,0.0761097,0.5105
True,1,0.005,100,500,0.99,3,2,7,2,100,440,1.23335,0.0740884,0.587
True,1,0.005,100,500,0.99,3,2,7,2,100,450,1.17132,0.0732589,0.5924
True,1,0.005,100,500,0.99,3,2,7,2,100,460,1.13962,0.072122,0.5859
True,1,0.005,100,500,0.99,3,2,7,2,100,470,1.09701,0.071014,0.6031
True,1,0.005,100,500,0.99,3,2,7,2,100,480,1.11423,0.0738285,0.5924
True,1,0.005,100,500,0.99,3,2,7,2,100,490,1.26941,0.0745746,0.5669
True,1,0.005,100,500,0.99,3,2,7,2,100,-1,6.52799,0.0979408,0.2369
True,10,0.005,100,500,0.99,3,2,7,1,100,0,4.60522,0.0994834,0.0101
True,10,0.005,100,500,0.99,3,2,7,1,100,10,4.08607,0.0990273,0.0531
True,10,0.005,100,500,0.99,3,2,7,1,100,20,3.98487,0.0987946,0.053
True,10,0.005,100,500,0.99,3,2,7,1,100,30,3.63917,0.0979004,0.0941
True,10,0.005,100,500,0.99,3,2,7,1,100,40,3.38963,0.09691,0.1596
True,10,0.005,100,500,0.99,3,2,7,1,100,50,3.14205,0.0962731,0.2127
True,10,0.005,100,500,0.99,3,2,7,1,100,60,2.77799,0.0940716,0.2285
True,10,0.005,100,500,0.99,3,2,7,1,100,70,2.77543,0.0936633,0.2533
True,10,0.005,100,500,0.99,3,2,7,1,100,80,2.85664,0.0946961,0.1859
True,10,0.005,100,500,0.99,3,2,7,1,100,90,2.57616,0.0931034,0.265
True,10,0.005,100,500,0.99,3,2,7,1,100,100,5.05553,0.100748,0.0675
True,10,0.005,100,500,0.99,3,2,7,1,100,110,3.32426,0.0968885,0.1877
True,10,0.005,100,500,0.99,3,2,7,1,100,120,3.31733,0.0966601,0.1414
True,10,0.005,100,500,0.99,3,2,7,1,100,130,2.7411,0.0937293,0.2363
True,10,0.005,100,500,0.99,3,2,7,1,100,140,2.51138,0.0917522,0.2971
True,10,0.005,100,500,0.99,3,2,7,1,100,150,2.42769,0.0900638,0.3166
True,10,0.005,100,500,0.99,3,2,7,1,100,160,2.28473,0.0901114,0.2941
True,10,0.005,100,500,0.99,3,2,7,1,100,170,2.15718,0.0891934,0.324
True,10,0.005,100,500,0.99,3,2,7,1,100,180,2.02617,0.0873934,0.3466
True,10,0.005,100,500,0.99,3,2,7,1,100,190,1.88877,0.0865,0.3768
True,10,0.005,100,500,0.99,3,2,7,1,100,200,1.71467,0.0839869,0.422
True,10,0.005,100,500,0.99,3,2,7,1,100,210,1.78984,0.0837383,0.4015
True,10,0.005,100,500,0.99,3,2,7,1,100,220,1.77434,0.0844709,0.3994
True,10,0.005,100,500,0.99,3,2,7,1,100,230,1.80907,0.0860355,0.3534
True,10,0.005,100,500,0.99,3,2,7,1,100,240,1.64534,0.0831259,0.405
True,10,0.005,100,500,0.99,3,2,7,1,100,250,1.63441,0.0821386,0.4538
True,10,0.005,100,500,0.99,3,2,7,1,100,260,1.46162,0.0804239,0.4841
True,10,0.005,100,500,0.99,3,2,7,1,100,270,1.39594,0.0795564,0.4778
True,10,0.005,100,500,0.99,3,2,7,1,100,280,1.35386,0.0783752,0.5089
True,10,0.005,100,500,0.99,3,2,7,1,100,290,1.39503,0.078456,0.4814
True,10,0.005,100,500,0.99,3,2,7,1,100,300,1.45566,0.0794579,0.4776
True,10,0.005,100,500,0.99,3,2,7,1,100,310,1.31274,0.07796,0.4796
True,10,0.005,100,500,0.99,3,2,7,1,100,320,1.4131,0.0788733,0.4816
True,10,0.005,100,500,0.99,3,2,7,1,100,330,1.67212,0.0810311,0.4524
True,10,0.005,100,500,0.99,3,2,7,1,100,340,1.34772,0.0773538,0.5009
True,10,0.005,100,500,0.99,3,2,7,1,100,350,1.39176,0.0777863,0.4873
True,10,0.005,100,500,0.99,3,2,7,1,100,360,1.54314,0.0782113,0.4795
True,10,0.005,100,500,0.99,3,2,7,1,100,370,1.34119,0.0767485,0.5234
True,10,0.005,100,500,0.99,3,2,7,1,100,380,1.26464,0.0759398,0.5307
True,10,0.005,100,500,0.99,3,2,7,1,100,390,1.21171,0.0736802,0.5532
True,10,0.005,100,500,0.99,3,2,7,1,100,400,1.3315,0.0764094,0.5266
True,10,0.005,100,500,0.99,3,2,7,1,100,410,1.47939,0.0782733,0.4861
True,10,0.005,100,500,0.99,3,2,7,1,100,420,1.46758,0.0789814,0.4718
True,10,0.005,100,500,0.99,3,2,7,1,100,430,1.5532,0.0800303,0.4444
True,10,0.005,100,500,0.99,3,2,7,1,100,440,1.71801,0.0812391,0.4061
True,10,0.005,100,500,0.99,3,2,7,1,100,450,1.34883,0.0776798,0.5039
True,10,0.005,100,500,0.99,3,2,7,1,100,460,1.3382,0.0778113,0.4688
True,10,0.005,100,500,0.99,3,2,7,1,100,470,1.37974,0.0778596,0.4709
True,10,0.005,100,500,0.99,3,2,7,1,100,480,1.27887,0.0763005,0.5038
True,10,0.005,100,500,0.99,3,2,7,1,100,490,1.23451,0.075158,0.5184
True,10,0.005,100,500,0.99,3,2,7,1,100,500,1.2264,0.0755763,0.5096
True,10,0.005,100,500,0.99,3,2,7,1,100,510,2.76961,0.0875076,0.3818
True,10,0.005,100,500,0.99,3,2,7,1,100,520,1.63092,0.08382,0.4169
True,10,0.005,100,500,0.99,3,2,7,1,100,530,1.36727,0.0793818,0.4741
True,10,0.005,100,500,0.99,3,2,7,1,100,540,1.2832,0.0775529,0.5148
True,10,0.005,100,500,0.99,3,2,7,1,100,550,1.2719,0.0773192,0.5053
True,10,0.005,100,500,0.99,3,2,7,1,100,560,1.31224,0.0774156,0.5142
True,10,0.005,100,500,0.99,3,2,7,1,100,570,1.15688,0.0744086,0.5401
True,10,0.005,100,500,0.99,3,2,7,1,100,580,1.19339,0.0761504,0.5257
True,10,0.005,100,500,0.99,3,2,7,1,100,590,1.15367,0.0730933,0.5579
True,10,0.005,100,500,0.99,3,2,7,1,100,600,1.1008,0.0712258,0.6035
True,10,0.005,100,500,0.99,3,2,7,1,100,610,1.00125,0.0695841,0.6071
True,10,0.005,100,500,0.99,3,2,7,1,100,620,1.22884,0.0737744,0.5674
True,10,0.005,100,500,0.99,3,2,7,1,100,630,4.96547,0.103957,0.1582
True,10,0.005,100,500,0.99,3,2,7,1,100,640,4.23372,0.100596,0.1127
True,10,0.005,100,500,0.99,3,2,7,1,100,650,3.18673,0.0959151,0.1636
True,10,0.005,100,500,0.99,3,2,7,1,100,660,2.47248,0.0916056,0.2378
True,10,0.005,100,500,0.99,3,2,7,1,100,670,2.15332,0.0878139,0.3393
True,10,0.005,100,500,0.99,3,2,7,1,100,680,2.15638,0.0875058,0.3547
True,10,0.005,100,500,0.99,3,2,7,1,100,690,1.93572,0.0855318,0.3891
True,10,0.005,100,500,0.99,3,2,7,1,100,700,1.89143,0.0855146,0.3362
True,10,0.005,100,500,0.99,3,2,7,1,100,710,2.35328,0.0892421,0.3026
True,10,0.005,100,500,0.99,3,2,7,1,100,720,2.20544,0.089008,0.3314
True,10,0.005,100,500,0.99,3,2,7,1,100,730,2.31687,0.090255,0.2992
True,10,0.005,100,500,0.99,3,2,7,1,100,740,1.97803,0.0877322,0.3611
True,10,0.005,100,500,0.99,3,2,7,1,100,750,1.86628,0.0856255,0.3884
True,10,0.005,100,500,0.99,3,2,7,1,100,760,1.71667,0.0829356,0.4548
True,10,0.005,100,500,0.99,3,2,7,1,100,770,1.59113,0.0805988,0.4781
True,10,0.005,100,500,0.99,3,2,7,1,100,780,1.62701,0.0815572,0.469
True,10,0.005,100,500,0.99,3,2,7,1,100,790,1.58633,0.0810847,0.4539
True,10,0.005,100,500,0.99,3,2,7,1,100,800,1.55214,0.0804477,0.4676
True,10,0.005,100,500,0.99,3,2,7,1,100,810,1.9988,0.0888198,0.338
True,10,0.005,100,500,0.99,3,2,7,1,100,820,1.87665,0.0850041,0.3797
True,10,0.005,100,500,0.99,3,2,7,1,100,830,1.63676,0.0821295,0.429
True,10,0.005,100,500,0.99,3,2,7,1,100,840,1.52317,0.0806498,0.4396
True,10,0.005,100,500,0.99,3,2,7,1,100,850,1.70457,0.0832653,0.4439
True,10,0.005,100,500,0.99,3,2,7,1,100,860,1.5429,0.080903,0.4582
True,10,0.005,100,500,0.99,3,2,7,1,100,870,1.43117,0.0794209,0.4914
True,10,0.005,100,500,0.99,3,2,7,1,100,880,1.95209,0.0849741,0.4014
True,10,0.005,100,500,0.99,3,2,7,1,100,890,1.66885,0.082384,0.4431
True,10,0.005,100,500,0.99,3,2,7,1,100,900,1.65208,0.0824119,0.4444
True,10,0.005,100,500,0.99,3,2,7,1,100,910,1.88,0.0855018,0.3491
True,10,0.005,100,500,0.99,3,2,7,1,100,920,1.59868,0.0823473,0.4388
True,10,0.005,100,500,0.99,3,2,7,1,100,930,1.4527,0.0800384,0.4748
True,10,0.005,100,500,0.99,3,2,7,1,100,940,1.37542,0.0790385,0.5037
True,10,0.005,100,500,0.99,3,2,7,1,100,950,1.41077,0.0794365,0.4856
True,10,0.005,100,500,0.99,3,2,7,1,100,960,1.39336,0.0791542,0.4883
True,10,0.005,100,500,0.99,3,2,7,1,100,970,1.22898,0.0754339,0.5818
True,10,0.005,100,500,0.99,3,2,7,1,100,980,1.17445,0.0734321,0.6099
True,10,0.005,100,500,0.99,3,2,7,1,100,990,1.28014,0.0767029,0.5279
True,10,0.005,100,500,0.99,3,2,7,1,100,1000,1.33563,0.0777353,0.52
True,10,0.005,100,500,0.99,3,2,7,1,100,1010,2.73318,0.0883996,0.3493
True,10,0.005,100,500,0.99,3,2,7,1,100,1020,1.84867,0.0808556,0.465
True,10,0.005,100,500,0.99,3,2,7,1,100,1030,4.13811,0.0989106,0.1612
True,10,0.005,100,500,0.99,3,2,7,1,100,1040,2.94946,0.0927852,0.2782
True,10,0.005,100,500,0.99,3,2,7,1,100,1050,2.27202,0.0882637,0.3564
True,10,0.005,100,500,0.99,3,2,7,1,100,1060,1.96631,0.0850801,0.3989
True,10,0.005,100,500,0.99,3,2,7,1,100,1070,1.76807,0.0829163,0.419
True,10,0.005,100,500,0.99,3,2,7,1,100,1080,2.01385,0.0853126,0.4246
True,10,0.005,100,500,0.99,3,2,7,1,100,1090,1.81424,0.0826845,0.4358
True,10,0.005,100,500,0.99,3,2,7,1,100,1100,3.03072,0.091478,0.2542
True,10,0.005,100,500,0.99,3,2,7,1,100,1110,2.17191,0.0881525,0.351
True,10,0.005,100,500,0.99,3,2,7,1,100,1120,2.08033,0.0866014,0.3884
True,10,0.005,100,500,0.99,3,2,7,1,100,1130,1.78982,0.083594,0.4219
True,10,0.005,100,500,0.99,3,2,7,1,100,1140,1.80196,0.0835293,0.4286
True,10,0.005,100,500,0.99,3,2,7,1,100,1150,1.7001,0.0822539,0.4388
True,10,0.005,100,500,0.99,3,2,7,1,100,1160,1.72531,0.0827041,0.4196
True,10,0.005,100,500,0.99,3,2,7,1,100,1170,1.60694,0.0820186,0.4274
True,10,0.005,100,500,0.99,3,2,7,1,100,1180,1.57961,0.0803295,0.4659
True,10,0.005,100,500,0.99,3,2,7,1,100,1190,1.49024,0.0798115,0.4693
True,10,0.005,100,500,0.99,3,2,7,1,100,1200,1.41283,0.07828,0.4947
True,10,0.005,100,500,0.99,3,2,7,1,100,1210,1.35469,0.0774801,0.5168
True,10,0.005,100,500,0.99,3,2,7,1,100,1220,1.38432,0.077047,0.5093
True,10,0.005,100,500,0.99,3,2,7,1,100,1230,1.41679,0.0779299,0.4924
True,10,0.005,100,500,0.99,3,2,7,1,100,1240,1.53061,0.0796727,0.4564
True,10,0.005,100,500,0.99,3,2,7,1,100,1250,1.49925,0.0793114,0.4819
True,10,0.005,100,500,0.99,3,2,7,1,100,1260,1.44528,0.0788639,0.4757
True,10,0.005,100,500,0.99,3,2,7,1,100,1270,1.4902,0.0784047,0.4947
True,10,0.005,100,500,0.99,3,2,7,1,100,1280,1.44644,0.0788896,0.4814
True,10,0.005,100,500,0.99,3,2,7,1,100,1290,1.40585,0.0779774,0.4987
True,10,0.005,100,500,0.99,3,2,7,1,100,1300,1.38691,0.0775168,0.5033
True,10,0.005,100,500,0.99,3,2,7,1,100,1310,1.26112,0.0749238,0.5439
True,10,0.005,100,500,0.99,3,2,7,1,100,1320,1.22788,0.0740198,0.5482
True,10,0.005,100,500,0.99,3,2,7,1,100,1330,1.64647,0.0815303,0.443
True,10,0.005,100,500,0.99,3,2,7,1,100,1340,1.6046,0.0808057,0.4446
True,10,0.005,100,500,0.99,3,2,7,1,100,1350,1.42716,0.0779902,0.5109
True,10,0.005,100,500,0.99,3,2,7,1,100,1360,1.45662,0.0785712,0.4927
True,10,0.005,100,500,0.99,3,2,7,1,100,1370,1.31549,0.075909,0.5243
True,10,0.005,100,500,0.99,3,2,7,1,100,1380,1.45239,0.0773998,0.5138
